produit,value,ville,year,code,parent_code,type_produit
"Meubles, articles d'ameublement, tapis et autres revetements de sol",100.9000015258789,Agadir,2018,,,total
Produits alimentaires et boissons non alcoolisées,101.9000015258789,Al Hoceima,2018,01,,division
Produits alimentaires,102.0,Al Hoceima,2018,011,01,groupe
Boissons non alcoolisées,100.4000015258789,Al Hoceima,2018,012,01,groupe
Boissons alcoolisées et tabac,110.30000305175781,Al Hoceima,2018,02,,division
Boissons alcoolisées,100.0,Al Hoceima,2018,021,02,groupe
Tabac,110.9000015258789,Al Hoceima,2018,022,02,groupe
Articles d'habillement et chaussures,101.0,Al Hoceima,2018,03,,division
Articles d'habillement,101.19999694824219,Al Hoceima,2018,031,03,groupe
Chaussures,100.0,Al Hoceima,2018,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",99.9000015258789,Al Hoceima,2018,04,,division
Loyers effectifs,100.0999984741211,Al Hoceima,2018,041,04,groupe
Entretien et réparation des logements,98.19999694824219,Al Hoceima,2018,043,04,groupe
Alimentation en eau et services divers liés au logement,100.19999694824219,Al Hoceima,2018,044,04,groupe
"Electricité, gaz et autres combustibles",100.0,Al Hoceima,2018,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.0,Al Hoceima,2018,05,,division
Articles de ménage en textiles,100.19999694824219,Al Hoceima,2018,052,05,groupe
Appareils ménagers,99.0,Al Hoceima,2018,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",100.0,Al Hoceima,2018,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,99.80000305175781,Al Hoceima,2018,055,05,groupe
Biens et services liés à l'entretien courant du foyer,98.80000305175781,Al Hoceima,2018,056,05,groupe
Santé,99.80000305175781,Al Hoceima,2018,06,,division
"Produits, appareils et matériels médicaux",99.5,Al Hoceima,2018,061,06,groupe
Services ambulatoires,99.9000015258789,Al Hoceima,2018,062,06,groupe
Services hospitaliers,100.0,Al Hoceima,2018,063,06,groupe
Transport,103.19999694824219,Al Hoceima,2018,07,,division
Achat de véhicules,103.5999984741211,Al Hoceima,2018,071,07,groupe
Dépenses d'utilisation des véhicules,104.0999984741211,Al Hoceima,2018,072,07,groupe
Services de transport,101.5999984741211,Al Hoceima,2018,073,07,groupe
Communications,100.19999694824219,Al Hoceima,2018,08,,division
Services postaux,100.0,Al Hoceima,2018,081,08,groupe
Matériel de téléphonie et de télécopie,94.69999694824219,Al Hoceima,2018,082,08,groupe
Services de téléphonie et de télécopie,100.9000015258789,Al Hoceima,2018,083,08,groupe
Loisirs et culture,98.30000305175781,Al Hoceima,2018,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",95.9000015258789,Al Hoceima,2018,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",103.0999984741211,Al Hoceima,2018,093,09,groupe
Services récréatifs et culturels,100.9000015258789,Al Hoceima,2018,094,09,groupe
"Journaux, livres et articles de papeterie",100.0999984741211,Al Hoceima,2018,095,09,groupe
Enseignement,108.19999694824219,Al Hoceima,2018,10,,division
Enseignement préélémentaire et primaire,100.80000305175781,Al Hoceima,2018,101,10,groupe
Enseignement secondaire,111.69999694824219,Al Hoceima,2018,102,10,groupe
Enseignement postsecondaire non supérieur,100.0,Al Hoceima,2018,103,10,groupe
Enseignement non défini par niveau,100.0,Al Hoceima,2018,105,10,groupe
Restaurants et hôtels,109.19999694824219,Al Hoceima,2018,11,,division
Services de restauration,102.69999694824219,Al Hoceima,2018,111,11,groupe
Services d'hébergement,117.80000305175781,Al Hoceima,2018,112,11,groupe
Biens et services divers,100.9000015258789,Al Hoceima,2018,12,,division
Soins corporels,100.5,Al Hoceima,2018,121,12,groupe
Effets personnels non classés ailleurs,98.4000015258789,Al Hoceima,2018,123,12,groupe
Assurance,100.0,Al Hoceima,2018,125,12,groupe
Services financiers,100.4000015258789,Al Hoceima,2018,126,12,groupe
Autres services,114.9000015258789,Al Hoceima,2018,127,12,groupe
Autres biens durables à fonction  récréative et culturelle,100.0,Al Hoceima,2018,,,total
Indice général,101.9000015258789,Al Hoceima,2018,,,total
Variation (en %),1.899999976158142,Al Hoceima,2018,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",103.19999694824219,Al Hoceima,2018,,,total
Produits alimentaires et boissons non alcoolisées,100.80000305175781,Béni Mellal,2018,01,,division
Produits alimentaires,100.9000015258789,Béni Mellal,2018,011,01,groupe
Boissons non alcoolisées,100.0,Béni Mellal,2018,012,01,groupe
Boissons alcoolisées et tabac,108.69999694824219,Béni Mellal,2018,02,,division
Tabac,108.69999694824219,Béni Mellal,2018,022,02,groupe
Articles d'habillement et chaussures,101.9000015258789,Béni Mellal,2018,03,,division
Articles d'habillement,102.0,Béni Mellal,2018,031,03,groupe
Chaussures,101.80000305175781,Béni Mellal,2018,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.0999984741211,Béni Mellal,2018,04,,division
Loyers effectifs,100.30000305175781,Béni Mellal,2018,041,04,groupe
Entretien et réparation des logements,100.19999694824219,Béni Mellal,2018,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Béni Mellal,2018,044,04,groupe
"Electricité, gaz et autres combustibles",100.0,Béni Mellal,2018,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.0999984741211,Béni Mellal,2018,05,,division
Articles de ménage en textiles,100.4000015258789,Béni Mellal,2018,052,05,groupe
Appareils ménagers,100.0999984741211,Béni Mellal,2018,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",101.0,Béni Mellal,2018,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,100.0,Béni Mellal,2018,055,05,groupe
Biens et services liés à l'entretien courant du foyer,100.0,Béni Mellal,2018,056,05,groupe
Santé,99.69999694824219,Béni Mellal,2018,06,,division
"Produits, appareils et matériels médicaux",99.4000015258789,Béni Mellal,2018,061,06,groupe
Services ambulatoires,100.0,Béni Mellal,2018,062,06,groupe
Services hospitaliers,100.0,Béni Mellal,2018,063,06,groupe
Transport,102.0999984741211,Béni Mellal,2018,07,,division
Achat de véhicules,102.9000015258789,Béni Mellal,2018,071,07,groupe
Dépenses d'utilisation des véhicules,103.19999694824219,Béni Mellal,2018,072,07,groupe
Services de transport,100.19999694824219,Béni Mellal,2018,073,07,groupe
Communications,101.30000305175781,Béni Mellal,2018,08,,division
Services postaux,100.0,Béni Mellal,2018,081,08,groupe
Matériel de téléphonie et de télécopie,100.0999984741211,Béni Mellal,2018,082,08,groupe
Services de téléphonie et de télécopie,101.4000015258789,Béni Mellal,2018,083,08,groupe
Loisirs et culture,100.0999984741211,Béni Mellal,2018,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",100.0999984741211,Béni Mellal,2018,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",100.0999984741211,Béni Mellal,2018,093,09,groupe
Services récréatifs et culturels,100.0,Béni Mellal,2018,094,09,groupe
"Journaux, livres et articles de papeterie",100.0,Béni Mellal,2018,095,09,groupe
Forfaits touristiques,100.0,Béni Mellal,2018,0960,096,groupe
Enseignement,100.0,Béni Mellal,2018,10,,division
Enseignement préélémentaire et primaire,100.0,Béni Mellal,2018,101,10,groupe
Enseignement secondaire,100.0,Béni Mellal,2018,102,10,groupe
Enseignement postsecondaire non supérieur,100.0,Béni Mellal,2018,103,10,groupe
Enseignement supérieur,100.0,Béni Mellal,2018,104,10,groupe
Enseignement non défini par niveau,100.0,Béni Mellal,2018,105,10,groupe
Restaurants et hôtels,102.5,Béni Mellal,2018,11,,division
Services de restauration,102.5,Béni Mellal,2018,111,11,groupe
Services d'hébergement,102.80000305175781,Béni Mellal,2018,112,11,groupe
Biens et services divers,100.0,Béni Mellal,2018,12,,division
Soins corporels,99.9000015258789,Béni Mellal,2018,121,12,groupe
Effets personnels non classés ailleurs,99.69999694824219,Béni Mellal,2018,123,12,groupe
Assurance,100.0,Béni Mellal,2018,125,12,groupe
Services financiers,100.0,Béni Mellal,2018,126,12,groupe
Autres services,103.30000305175781,Béni Mellal,2018,127,12,groupe
Indice général,100.80000305175781,Béni Mellal,2018,,,total
Variation (en %),0.800000011920929,Béni Mellal,2018,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",99.9000015258789,Béni Mellal,2018,,,total
Produits alimentaires et boissons non alcoolisées,102.0999984741211,Casablanca,2018,01,,division
Produits alimentaires,102.30000305175781,Casablanca,2018,011,01,groupe
Boissons non alcoolisées,98.0999984741211,Casablanca,2018,012,01,groupe
Boissons alcoolisées et tabac,108.30000305175781,Casablanca,2018,02,,division
Boissons alcoolisées,103.80000305175781,Casablanca,2018,021,02,groupe
Tabac,108.69999694824219,Casablanca,2018,022,02,groupe
Articles d'habillement et chaussures,100.5999984741211,Casablanca,2018,03,,division
Articles d'habillement,99.9000015258789,Casablanca,2018,031,03,groupe
Chaussures,103.5,Casablanca,2018,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.5,Casablanca,2018,04,,division
Loyers effectifs,100.30000305175781,Casablanca,2018,041,04,groupe
Entretien et réparation des logements,102.9000015258789,Casablanca,2018,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Casablanca,2018,044,04,groupe
"Electricité, gaz et autres combustibles",100.0999984741211,Casablanca,2018,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.30000305175781,Casablanca,2018,05,,division
Articles de ménage en textiles,102.80000305175781,Casablanca,2018,052,05,groupe
Appareils ménagers,100.9000015258789,Casablanca,2018,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",99.9000015258789,Casablanca,2018,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,103.0,Casablanca,2018,055,05,groupe
Biens et services liés à l'entretien courant du foyer,99.69999694824219,Casablanca,2018,056,05,groupe
Santé,100.0999984741211,Casablanca,2018,06,,division
"Produits, appareils et matériels médicaux",99.4000015258789,Casablanca,2018,061,06,groupe
Services ambulatoires,100.5999984741211,Casablanca,2018,062,06,groupe
Services hospitaliers,100.19999694824219,Casablanca,2018,063,06,groupe
Transport,102.5,Casablanca,2018,07,,division
Achat de véhicules,98.0999984741211,Casablanca,2018,071,07,groupe
Dépenses d'utilisation des véhicules,103.5,Casablanca,2018,072,07,groupe
Services de transport,104.69999694824219,Casablanca,2018,073,07,groupe
Communications,101.0999984741211,Casablanca,2018,08,,division
Services postaux,100.0,Casablanca,2018,081,08,groupe
Matériel de téléphonie et de télécopie,97.5,Casablanca,2018,082,08,groupe
Services de téléphonie et de télécopie,101.5,Casablanca,2018,083,08,groupe
Loisirs et culture,100.19999694824219,Casablanca,2018,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",99.30000305175781,Casablanca,2018,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",99.80000305175781,Casablanca,2018,093,09,groupe
Services récréatifs et culturels,97.80000305175781,Casablanca,2018,094,09,groupe
"Journaux, livres et articles de papeterie",100.0999984741211,Casablanca,2018,095,09,groupe
Forfaits touristiques,103.0999984741211,Casablanca,2018,0960,096,groupe
Enseignement,102.69999694824219,Casablanca,2018,10,,division
Enseignement préélémentaire et primaire,105.19999694824219,Casablanca,2018,101,10,groupe
Enseignement secondaire,102.0999984741211,Casablanca,2018,102,10,groupe
Enseignement postsecondaire non supérieur,100.0,Casablanca,2018,103,10,groupe
Enseignement supérieur,100.80000305175781,Casablanca,2018,104,10,groupe
Enseignement non défini par niveau,100.0,Casablanca,2018,105,10,groupe
Restaurants et hôtels,101.5999984741211,Casablanca,2018,11,,division
Services de restauration,101.80000305175781,Casablanca,2018,111,11,groupe
Services d'hébergement,100.0,Casablanca,2018,112,11,groupe
Biens et services divers,102.80000305175781,Casablanca,2018,12,,division
Soins corporels,103.80000305175781,Casablanca,2018,121,12,groupe
Effets personnels non classés ailleurs,102.5999984741211,Casablanca,2018,123,12,groupe
Assurance,99.5999984741211,Casablanca,2018,125,12,groupe
Services financiers,102.0,Casablanca,2018,126,12,groupe
Autres services,107.30000305175781,Casablanca,2018,127,12,groupe
Autres biens durables à fonction  récréative et culturelle,100.0,Casablanca,2018,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",100.9000015258789,Casablanca,2018,,,total
Produits alimentaires et boissons non alcoolisées,104.9000015258789,Dakhla,2018,01,,division
Produits alimentaires,105.0999984741211,Dakhla,2018,011,01,groupe
Boissons non alcoolisées,100.80000305175781,Dakhla,2018,012,01,groupe
Boissons alcoolisées et tabac,108.69999694824219,Dakhla,2018,02,,division
Tabac,108.69999694824219,Dakhla,2018,022,02,groupe
Articles d'habillement et chaussures,101.19999694824219,Dakhla,2018,03,,division
Articles d'habillement,101.30000305175781,Dakhla,2018,031,03,groupe
Chaussures,101.0999984741211,Dakhla,2018,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.69999694824219,Dakhla,2018,04,,division
Loyers effectifs,100.0,Dakhla,2018,041,04,groupe
Entretien et réparation des logements,104.5999984741211,Dakhla,2018,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Dakhla,2018,044,04,groupe
"Electricité, gaz et autres combustibles",100.0,Dakhla,2018,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.9000015258789,Dakhla,2018,05,,division
Articles de ménage en textiles,100.0,Dakhla,2018,052,05,groupe
Appareils ménagers,102.69999694824219,Dakhla,2018,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",99.9000015258789,Dakhla,2018,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,103.19999694824219,Dakhla,2018,055,05,groupe
Biens et services liés à l'entretien courant du foyer,100.9000015258789,Dakhla,2018,056,05,groupe
Santé,99.80000305175781,Dakhla,2018,06,,division
"Produits, appareils et matériels médicaux",99.4000015258789,Dakhla,2018,061,06,groupe
Services ambulatoires,100.19999694824219,Dakhla,2018,062,06,groupe
Services hospitaliers,100.0,Dakhla,2018,063,06,groupe
Transport,101.80000305175781,Dakhla,2018,07,,division
Achat de véhicules,100.19999694824219,Dakhla,2018,071,07,groupe
Dépenses d'utilisation des véhicules,105.0,Dakhla,2018,072,07,groupe
Services de transport,100.30000305175781,Dakhla,2018,073,07,groupe
Communications,100.9000015258789,Dakhla,2018,08,,division
Services postaux,100.19999694824219,Dakhla,2018,081,08,groupe
Matériel de téléphonie et de télécopie,100.0,Dakhla,2018,082,08,groupe
Services de téléphonie et de télécopie,101.0999984741211,Dakhla,2018,083,08,groupe
Loisirs et culture,101.4000015258789,Dakhla,2018,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",101.19999694824219,Dakhla,2018,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",103.19999694824219,Dakhla,2018,093,09,groupe
Services récréatifs et culturels,100.80000305175781,Dakhla,2018,094,09,groupe
"Journaux, livres et articles de papeterie",101.19999694824219,Dakhla,2018,095,09,groupe
Enseignement,100.0999984741211,Dakhla,2018,10,,division
Enseignement préélémentaire et primaire,100.0999984741211,Dakhla,2018,101,10,groupe
Enseignement secondaire,100.0,Dakhla,2018,102,10,groupe
Restaurants et hôtels,104.0,Dakhla,2018,11,,division
Services de restauration,104.0,Dakhla,2018,111,11,groupe
Services d'hébergement,103.30000305175781,Dakhla,2018,112,11,groupe
Biens et services divers,101.0999984741211,Dakhla,2018,12,,division
Soins corporels,100.69999694824219,Dakhla,2018,121,12,groupe
Effets personnels non classés ailleurs,104.30000305175781,Dakhla,2018,123,12,groupe
Assurance,99.9000015258789,Dakhla,2018,125,12,groupe
Services financiers,100.0,Dakhla,2018,126,12,groupe
Autres services,102.30000305175781,Dakhla,2018,127,12,groupe
Autres biens durables à fonction  récréative et culturelle,103.19999694824219,Dakhla,2018,,,total
Indice général,102.5999984741211,Dakhla,2018,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",99.9000015258789,Dakhla,2018,,,total
Produits alimentaires et boissons non alcoolisées,101.80000305175781,Errachidia,2018,01,,division
Produits alimentaires,101.80000305175781,Errachidia,2018,011,01,groupe
Boissons non alcoolisées,100.4000015258789,Errachidia,2018,012,01,groupe
Boissons alcoolisées et tabac,110.30000305175781,Errachidia,2018,02,,division
Boissons alcoolisées,99.9000015258789,Errachidia,2018,021,02,groupe
Tabac,110.9000015258789,Errachidia,2018,022,02,groupe
Articles d'habillement et chaussures,100.0999984741211,Errachidia,2018,03,,division
Articles d'habillement,100.0999984741211,Errachidia,2018,031,03,groupe
Chaussures,100.0,Errachidia,2018,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.0,Errachidia,2018,04,,division
Loyers effectifs,100.4000015258789,Errachidia,2018,041,04,groupe
Entretien et réparation des logements,99.80000305175781,Errachidia,2018,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Errachidia,2018,044,04,groupe
"Electricité, gaz et autres combustibles",100.0,Errachidia,2018,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.30000305175781,Errachidia,2018,05,,division
Articles de ménage en textiles,99.5,Errachidia,2018,052,05,groupe
Appareils ménagers,100.4000015258789,Errachidia,2018,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",99.9000015258789,Errachidia,2018,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,98.19999694824219,Errachidia,2018,055,05,groupe
Biens et services liés à l'entretien courant du foyer,100.5999984741211,Errachidia,2018,056,05,groupe
Santé,100.0,Errachidia,2018,06,,division
"Produits, appareils et matériels médicaux",99.5,Errachidia,2018,061,06,groupe
Services ambulatoires,100.69999694824219,Errachidia,2018,062,06,groupe
Services hospitaliers,100.0,Errachidia,2018,063,06,groupe
Transport,102.5,Errachidia,2018,07,,division
Achat de véhicules,103.0999984741211,Errachidia,2018,071,07,groupe
Dépenses d'utilisation des véhicules,102.5999984741211,Errachidia,2018,072,07,groupe
Services de transport,101.5,Errachidia,2018,073,07,groupe
Communications,101.0,Errachidia,2018,08,,division
Services postaux,100.0,Errachidia,2018,081,08,groupe
Matériel de téléphonie et de télécopie,100.0,Errachidia,2018,082,08,groupe
Services de téléphonie et de télécopie,101.19999694824219,Errachidia,2018,083,08,groupe
Loisirs et culture,100.30000305175781,Errachidia,2018,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",99.5,Errachidia,2018,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",100.0999984741211,Errachidia,2018,093,09,groupe
Services récréatifs et culturels,103.0,Errachidia,2018,094,09,groupe
"Journaux, livres et articles de papeterie",100.30000305175781,Errachidia,2018,095,09,groupe
Forfaits touristiques,100.80000305175781,Errachidia,2018,0960,096,groupe
Enseignement,102.4000015258789,Errachidia,2018,10,,division
Enseignement préélémentaire et primaire,106.80000305175781,Errachidia,2018,101,10,groupe
Enseignement secondaire,100.0999984741211,Errachidia,2018,102,10,groupe
Enseignement postsecondaire non supérieur,100.0,Errachidia,2018,103,10,groupe
Enseignement supérieur,100.0,Errachidia,2018,104,10,groupe
Enseignement non défini par niveau,100.0,Errachidia,2018,105,10,groupe
Restaurants et hôtels,100.80000305175781,Errachidia,2018,11,,division
Services de restauration,100.4000015258789,Errachidia,2018,111,11,groupe
Services d'hébergement,101.9000015258789,Errachidia,2018,112,11,groupe
Biens et services divers,100.0999984741211,Errachidia,2018,12,,division
Soins corporels,100.0999984741211,Errachidia,2018,121,12,groupe
Effets personnels non classés ailleurs,100.4000015258789,Errachidia,2018,123,12,groupe
Assurance,99.30000305175781,Errachidia,2018,125,12,groupe
Services financiers,99.9000015258789,Errachidia,2018,126,12,groupe
Autres services,102.69999694824219,Errachidia,2018,127,12,groupe
Autres biens durables à fonction  récréative et culturelle,100.0,Errachidia,2018,,,total
Indice général,101.19999694824219,Errachidia,2018,,,total
Variation (en %),1.2000000476837158,Errachidia,2018,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",100.69999694824219,Errachidia,2018,,,total
Produits alimentaires et boissons non alcoolisées,102.5999984741211,Fès,2018,01,,division
Produits alimentaires,102.5999984741211,Fès,2018,011,01,groupe
Boissons non alcoolisées,100.69999694824219,Fès,2018,012,01,groupe
Boissons alcoolisées et tabac,108.5,Fès,2018,02,,division
Boissons alcoolisées,100.0,Fès,2018,021,02,groupe
Tabac,108.69999694824219,Fès,2018,022,02,groupe
Articles d'habillement et chaussures,102.5,Fès,2018,03,,division
Articles d'habillement,101.9000015258789,Fès,2018,031,03,groupe
Chaussures,105.19999694824219,Fès,2018,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.4000015258789,Fès,2018,04,,division
Loyers effectifs,100.4000015258789,Fès,2018,041,04,groupe
Entretien et réparation des logements,100.80000305175781,Fès,2018,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Fès,2018,044,04,groupe
"Electricité, gaz et autres combustibles",100.30000305175781,Fès,2018,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",99.80000305175781,Fès,2018,05,,division
Articles de ménage en textiles,101.5,Fès,2018,052,05,groupe
Appareils ménagers,97.80000305175781,Fès,2018,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",105.0,Fès,2018,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,104.5,Fès,2018,055,05,groupe
Biens et services liés à l'entretien courant du foyer,99.19999694824219,Fès,2018,056,05,groupe
Santé,100.80000305175781,Fès,2018,06,,division
"Produits, appareils et matériels médicaux",99.9000015258789,Fès,2018,061,06,groupe
Services ambulatoires,101.69999694824219,Fès,2018,062,06,groupe
Services hospitaliers,100.0,Fès,2018,063,06,groupe
Transport,101.69999694824219,Fès,2018,07,,division
Achat de véhicules,100.5999984741211,Fès,2018,071,07,groupe
Dépenses d'utilisation des véhicules,103.30000305175781,Fès,2018,072,07,groupe
Services de transport,100.4000015258789,Fès,2018,073,07,groupe
Communications,101.30000305175781,Fès,2018,08,,division
Services postaux,100.0,Fès,2018,081,08,groupe
Matériel de téléphonie et de télécopie,100.0999984741211,Fès,2018,082,08,groupe
Services de téléphonie et de télécopie,101.5,Fès,2018,083,08,groupe
Loisirs et culture,98.69999694824219,Fès,2018,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",95.30000305175781,Fès,2018,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",102.4000015258789,Fès,2018,093,09,groupe
Services récréatifs et culturels,103.0999984741211,Fès,2018,094,09,groupe
"Journaux, livres et articles de papeterie",100.4000015258789,Fès,2018,095,09,groupe
Forfaits touristiques,100.0,Fès,2018,0960,096,groupe
Enseignement,106.30000305175781,Fès,2018,10,,division
Enseignement préélémentaire et primaire,113.0,Fès,2018,101,10,groupe
Enseignement secondaire,101.9000015258789,Fès,2018,102,10,groupe
Enseignement postsecondaire non supérieur,102.5,Fès,2018,103,10,groupe
Enseignement supérieur,100.0,Fès,2018,104,10,groupe
Enseignement non défini par niveau,100.0,Fès,2018,105,10,groupe
Restaurants et hôtels,100.0999984741211,Fès,2018,11,,division
Services de restauration,100.19999694824219,Fès,2018,111,11,groupe
Services d'hébergement,99.19999694824219,Fès,2018,112,11,groupe
Biens et services divers,102.80000305175781,Fès,2018,12,,division
Soins corporels,103.30000305175781,Fès,2018,121,12,groupe
Effets personnels non classés ailleurs,103.5,Fès,2018,123,12,groupe
Assurance,100.19999694824219,Fès,2018,125,12,groupe
Services financiers,99.30000305175781,Fès,2018,126,12,groupe
Autres services,100.80000305175781,Fès,2018,127,12,groupe
Autres biens durables à fonction  récréative et culturelle,100.0,Fès,2018,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",99.69999694824219,Fès,2018,,,total
Indice général,102.0999984741211,Fès,2018,,,total
Variation (en %),2.0999999046325684,Fès,2018,,,total
Produits alimentaires et boissons non alcoolisées,103.4000015258789,Guelmim,2018,01,,division
Produits alimentaires,103.4000015258789,Guelmim,2018,011,01,groupe
Boissons non alcoolisées,104.30000305175781,Guelmim,2018,012,01,groupe
Boissons alcoolisées et tabac,108.4000015258789,Guelmim,2018,02,,division
Boissons alcoolisées,101.0999984741211,Guelmim,2018,021,02,groupe
Tabac,108.69999694824219,Guelmim,2018,022,02,groupe
Articles d'habillement et chaussures,100.69999694824219,Guelmim,2018,03,,division
Articles d'habillement,100.9000015258789,Guelmim,2018,031,03,groupe
Chaussures,100.0,Guelmim,2018,032,03,groupe
"Logement, eau, électricité, gaz et autres combustibles",100.69999694824219,Guelmim,2018,04,,division
Loyers effectifs,100.0,Guelmim,2018,041,04,groupe
Entretien et réparation des logements,100.0999984741211,Guelmim,2018,043,04,groupe
Alimentation en eau et services divers liés au logement,100.0,Guelmim,2018,044,04,groupe
"Electricité, gaz et autres combustibles",101.5999984741211,Guelmim,2018,045,04,groupe
"Meubles, articles de ménage et entretien courant du foyer",100.69999694824219,Guelmim,2018,05,,division
Articles de ménage en textiles,100.0,Guelmim,2018,052,05,groupe
Appareils ménagers,102.5999984741211,Guelmim,2018,053,05,groupe
"Verrerie, vaisselle et ustensiles de ménage",99.5999984741211,Guelmim,2018,054,05,groupe
Outillage et autre matériel pour la maison et le jardin,99.80000305175781,Guelmim,2018,055,05,groupe
Biens et services liés à l'entretien courant du foyer,100.0,Guelmim,2018,056,05,groupe
Santé,99.69999694824219,Guelmim,2018,06,,division
"Produits, appareils et matériels médicaux",99.4000015258789,Guelmim,2018,061,06,groupe
Services ambulatoires,100.0,Guelmim,2018,062,06,groupe
Services hospitaliers,100.0,Guelmim,2018,063,06,groupe
Transport,101.30000305175781,Guelmim,2018,07,,division
Achat de véhicules,101.5,Guelmim,2018,071,07,groupe
Dépenses d'utilisation des véhicules,101.9000015258789,Guelmim,2018,072,07,groupe
Services de transport,100.0,Guelmim,2018,073,07,groupe
Communications,100.9000015258789,Guelmim,2018,08,,division
Services postaux,100.0,Guelmim,2018,081,08,groupe
Matériel de téléphonie et de télécopie,101.0999984741211,Guelmim,2018,082,08,groupe
Services de téléphonie et de télécopie,100.9000015258789,Guelmim,2018,083,08,groupe
Loisirs et culture,99.69999694824219,Guelmim,2018,09,,division
"Matériel audiovisuel, photographique et de traitement de l'information",99.19999694824219,Guelmim,2018,091,09,groupe
"Autres articles et matériel de loisirs, de jardinage et animaux de compagnie",100.0,Guelmim,2018,093,09,groupe
Services récréatifs et culturels,100.0,Guelmim,2018,094,09,groupe
"Journaux, livres et articles de papeterie",100.19999694824219,Guelmim,2018,095,09,groupe
Forfaits touristiques,100.0,Guelmim,2018,0960,096,groupe
Enseignement,100.0,Guelmim,2018,10,,division
Enseignement préélémentaire et primaire,100.0,Guelmim,2018,101,10,groupe
Enseignement secondaire,100.0,Guelmim,2018,102,10,groupe
Enseignement non défini par niveau,100.0,Guelmim,2018,105,10,groupe
Restaurants et hôtels,100.0999984741211,Guelmim,2018,11,,division
Services de restauration,100.0,Guelmim,2018,111,11,groupe
Services d'hébergement,100.30000305175781,Guelmim,2018,112,11,groupe
Biens et services divers,102.4000015258789,Guelmim,2018,12,,division
Soins corporels,104.0,Guelmim,2018,121,12,groupe
Effets personnels non classés ailleurs,100.5999984741211,Guelmim,2018,123,12,groupe
Assurance,100.0,Guelmim,2018,125,12,groupe
Services financiers,100.0,Guelmim,2018,126,12,groupe
Autres services,100.69999694824219,Guelmim,2018,127,12,groupe
Indice général,102.0,Guelmim,2018,,,total
Variation (en %),2.0,Guelmim,2018,,,total
"Meubles, articles d'ameublement, tapis et autres revetements de sol",101.0999984741211,Guelmim,2018,,,total
Produits alimentaires et boissons non alcoolisées,100.9000015258789,Kénitra,2018,01,,division
Produits alimentaires,100.9000015258789,Kénitra,2018,011,01,groupe
Boissons non alcoolisées,101.0,Kénitra,2018,012,01,groupe
Boissons alcoolisées et tabac,108.19999694824219,Kénitra,2018,02,,division
Boissons alcoolisées,101.0999984741211,Kénitra,2018,021,02,groupe
Tabac,108.69999694824219,Kénitra,2018,022,02,groupe
